 kusax1:   ID 01B8,   Subtype FF,   GBAName 00,   REL d_a_grass
 kusax7:   ID 01B8,   Subtype FF,   GBAName 00,   REL d_a_grass
kusax21:   ID 01B8,   Subtype FF,   GBAName 00,   REL d_a_grass
 flower:   ID 01B8,   Subtype FF,   GBAName 00,   REL d_a_grass
  flwr7:   ID 01B8,   Subtype FF,   GBAName 00,   REL d_a_grass
 flwr17:   ID 01B8,   Subtype FF,   GBAName 00,   REL d_a_grass
pflower:   ID 01B8,   Subtype FF,   GBAName 00,   REL d_a_grass
pflwrx7:   ID 01B8,   Subtype FF,   GBAName 00,   REL d_a_grass
  swood:   ID 01B8,   Subtype FF,   GBAName 00,   REL d_a_grass
 swood3:   ID 01B8,   Subtype FF,   GBAName 00,   REL d_a_grass
 swood5:   ID 01B8,   Subtype FF,   GBAName 00,   REL d_a_grass
  woodb:   ID 010C,   Subtype FF,   GBAName 00,   REL d_a_obj_wood
 woodbx:   ID 010C,   Subtype FF,   GBAName 00,   REL d_a_obj_wood
 door10:   ID 012E,   Subtype FF,   GBAName 00,   REL d_a_door10
 door11:   ID 012E,   Subtype FF,   GBAName 00,   REL d_a_door10
 door20:   ID 012E,   Subtype FF,   GBAName 00,   REL d_a_door10
 door21:   ID 012E,   Subtype FF,   GBAName 00,   REL d_a_door10
Zenshut:   ID 012E,   Subtype FF,   GBAName 00,   REL d_a_door10
keyshut:   ID 012E,   Subtype FF,   GBAName 00,   REL d_a_door10
K_Zshut:   ID 012E,   Subtype FF,   GBAName 00,   REL d_a_door10
 ATdoor:   ID 0130,   Subtype FF,   GBAName 00,   REL d_a_atdoor
  Mori1:   ID 0131,   Subtype FF,   GBAName 00,   REL d_a_mdoor
 doorKD:   ID 0132,   Subtype FF,   GBAName 00,   REL d_a_kddoor
ZenshKD:   ID 0132,   Subtype FF,   GBAName 00,   REL d_a_kddoor
K_ZshKD:   ID 0132,   Subtype FF,   GBAName 00,   REL d_a_kddoor
 doorSH:   ID 0132,   Subtype FF,   GBAName 00,   REL d_a_kddoor
 doorSZ:   ID 0132,   Subtype FF,   GBAName 00,   REL d_a_kddoor
 KNOB00:   ID 0133,   Subtype FF,   GBAName 00,   REL d_a_knob00
 KNOB01:   ID 0133,   Subtype FF,   GBAName 00,   REL d_a_knob00
 KNOB02:   ID 0133,   Subtype FF,   GBAName 00,   REL d_a_knob00
 KNOB03:   ID 0133,   Subtype FF,   GBAName 00,   REL d_a_knob00
KNOB00D:   ID 0133,   Subtype FF,   GBAName 00,   REL d_a_knob00
KNOB01D:   ID 0133,   Subtype FF,   GBAName 00,   REL d_a_knob00
KNOB02D:   ID 0133,   Subtype FF,   GBAName 00,   REL d_a_knob00
KNOB03D:   ID 0133,   Subtype FF,   GBAName 00,   REL d_a_knob00
 door12:   ID 012F,   Subtype 00,   GBAName 00,   REL d_a_door12
door12M:   ID 012F,   Subtype 01,   GBAName 00,   REL d_a_door12
door12B:   ID 012F,   Subtype 02,   GBAName 00,   REL d_a_door12
 door13:   ID 012F,   Subtype 03,   GBAName 00,   REL d_a_door12
door13M:   ID 012F,   Subtype 04,   GBAName 00,   REL d_a_door12
door13B:   ID 012F,   Subtype 05,   GBAName 00,   REL d_a_door12
 keyS12:   ID 012F,   Subtype 01,   GBAName 00,   REL d_a_door12
 ZenS12:   ID 012F,   Subtype 02,   GBAName 00,   REL d_a_door12
bonbori:   ID 00BA,   Subtype FF,   GBAName 00,   REL d_a_ep
 SW_C00:   ID 012C,   Subtype FF,   GBAName 00,   REL d_a_swc00
 takara:   ID 0126,   Subtype FF,   GBAName 3E,   REL d_a_tbox
takara2:   ID 0126,   Subtype FF,   GBAName 3E,   REL d_a_tbox
takara3:   ID 0126,   Subtype FF,   GBAName 3E,   REL d_a_tbox
takara4:   ID 0126,   Subtype FF,   GBAName 3E,   REL d_a_tbox
takara5:   ID 0126,   Subtype FF,   GBAName 3E,   REL d_a_tbox
takara6:   ID 0126,   Subtype FF,   GBAName 3E,   REL d_a_tbox
takara7:   ID 0126,   Subtype FF,   GBAName 3E,   REL d_a_tbox
takara8:   ID 0126,   Subtype FF,   GBAName 3E,   REL d_a_tbox
takaraK:   ID 0126,   Subtype FF,   GBAName 3E,   REL d_a_tbox
takaraI:   ID 0126,   Subtype FF,   GBAName 3E,   REL d_a_tbox
takaraM:   ID 0126,   Subtype FF,   GBAName 3E,   REL d_a_tbox
 tkrASw:   ID 0126,   Subtype FF,   GBAName 3E,   REL d_a_tbox
 tkrAGc:   ID 0126,   Subtype FF,   GBAName 3E,   REL d_a_tbox
 tkrAKd:   ID 0126,   Subtype FF,   GBAName 3E,   REL d_a_tbox
 tkrAIk:   ID 0126,   Subtype FF,   GBAName 3E,   REL d_a_tbox
 tkrBMs:   ID 0126,   Subtype FF,   GBAName 3E,   REL d_a_tbox
 tkrCTf:   ID 0126,   Subtype FF,   GBAName 3E,   REL d_a_tbox
 tkrAOc:   ID 0126,   Subtype FF,   GBAName 3E,   REL d_a_tbox
 tkrAOs:   ID 0126,   Subtype FF,   GBAName 3E,   REL d_a_tbox
 tkrSlv:   ID 0127,   Subtype FF,   GBAName 3E,   REL d_a_sbox
