Anim: Upper Under   L  R   Texture
  00:  0126  011C  00 00  0000
  01:  012E  012E  00 00  0000
  02:  0070  0070  02 08  0000
  03:  0070  0073  02 08  0000
  04:  0132  0132  00 00  0000
  05:  0132  0073  00 00  0000
  06:  0136  0136  02 08  0000
  07:  0022  0021  00 00  0000
  08:  0024  0023  00 00  0000
  09:  0027  0026  00 00  0000
  0A:  0029  0028  00 00  0000
  0B:  0013  0012  00 00  0000
  0C:  0015  0014  00 00  0000
  0D:  00AF  00AE  00 00  0000
  0E:  0025  0025  00 00  0000
  0F:  0011  0011  00 00  0000
  10:  001D  001D  00 00  0030
  11:  001F  001F  00 00  0031
  12:  001E  001E  00 00  0000
  13:  0020  0020  00 00  0000
  14:  00E6  00E6  00 00  0000
  15:  0055  0056  03 08  0057
  16:  0076  0076  03 08  0002
  17:  0077  0077  03 08  0041
  18:  005D  005D  03 08  0025
  19:  005F  005F  03 08  0026
  1A:  0060  0060  03 08  0026
  1B:  010E  010E  00 00  0000
  1C:  011F  011F  00 00  000E
  1D:  011D  011D  00 00  0059
  1E:  003F  003F  03 08  001E
  1F:  0049  0049  03 08  001E
  20:  0052  0052  03 08  001E
  21:  004F  004F  03 08  001E
  22:  0043  0043  03 08  001F
  23:  0046  0046  03 08  0020
  24:  007D  007D  03 08  0021
  25:  0080  0080  03 08  0022
  26:  0042  0042  03 09  006A
  27:  0056  0056  03 08  0057
  28:  0058  0058  03 08  0026
  29:  0058  005B  03 08  0026
  2A:  005A  005A  03 08  0058
  2B:  00A9  00A9  03 08  0023
  2C:  00AD  00AD  03 08  0023
  2D:  00AB  00AB  03 08  0023
  2E:  00AC  00AC  03 08  0023
  2F:  00AA  00AA  03 08  0024
  30:  00BA  00BA  00 00  0038
  31:  00BB  00BB  00 00  0039
  32:  00DB  00DB  00 00  0033
  33:  00DC  00DC  00 00  0036
  34:  00FA  00FA  00 00  0000
  35:  00F8  00F8  00 00  0042
  36:  00F9  00F9  00 00  0043
  37:  00F6  00F6  00 00  0044
  38:  00F7  00F7  00 00  0045
  39:  0019  0019  01 08  0041
  3A:  001A  001A  01 08  0041
  3B:  0017  0017  03 08  0041
  3C:  00B0  00B0  00 00  0032
  3D:  00D9  00D9  00 00  0034
  3E:  00DA  00DA  00 00  0035
  3F:  003E  003E  00 00  000A
  40:  00BD  00BD  02 08  000A
  41:  00BE  00BE  02 08  000A
  42:  0137  0137  00 00  000F
  43:  0138  0138  00 00  000F
  44:  013F  013F  00 00  001A
  45:  0141  0141  00 00  001B
  46:  0140  0140  00 00  001A
  47:  0142  0142  00 00  001B
  48:  013B  013B  00 00  001C
  49:  013D  013D  00 00  001D
  4A:  013C  013C  00 00  001C
  4B:  013E  013E  00 00  001D
  4C:  0116  0116  00 00  0000
  4D:  0117  0117  00 00  004C
  4E:  0118  0118  00 00  0000
  4F:  0119  0119  00 00  004D
  50:  009F  009F  00 00  0054
  51:  00A3  00A3  00 00  0055
  52:  00A1  00A1  00 00  000C
  53:  00A2  00A2  00 00  000D
  54:  0061  0061  00 00  003A
  55:  006E  006E  01 08  003A
  56:  006F  006F  01 08  003A
  57:  0065  0065  01 08  003A
  58:  0062  0062  01 08  003A
  59:  006A  006A  00 00  003B
  5A:  006C  006C  00 00  003B
  5B:  0068  0068  00 00  003B
  5C:  0066  0066  00 00  003B
  5D:  006B  006B  00 00  003E
  5E:  006D  006D  00 00  003F
  5F:  0069  0069  00 00  003C
  60:  0067  0067  00 00  003D
  61:  00BC  00BC  00 00  0056
  62:  0075  0075  00 00  0063
  63:  00F5  00F5  00 00  0063
  64:  00FF  00FF  00 00  0064
  65:  0091  0091  00 00  0015
  66:  0094  0094  00 00  0016
  67:  0090  0090  00 00  0017
  68:  0095  0095  00 00  0009
  69:  0096  0096  00 00  0012
  6A:  0093  0093  00 00  0018
  6B:  0092  0092  00 00  0019
  6C:  00C2  00C2  02 08  0027
  6D:  00C3  00C3  02 08  0028
  6E:  00C9  00C9  02 08  0029
  6F:  00CB  00CB  02 08  002A
  70:  00CA  00CA  03 08  002B
  71:  00CC  00CC  03 08  002C
  72:  00CD  00CD  00 00  002D
  73:  00CE  00CE  03 08  002E
  74:  00CF  00CF  03 08  002F
  75:  00DD  00DD  03 09  004C
  76:  00E1  00E1  03 09  0008
  77:  00E0  00E0  03 09  0008
  78:  00E5  00E5  03 09  0009
  79:  00DE  00DE  01 07  004E
  7A:  00DF  00DF  03 09  004F
  7B:  00E3  00E3  03 08  0049
  7C:  0033  0033  00 00  0049
  7D:  011B  011B  02 07  0002
  7E:  0124  0124  00 00  0002
  7F:  0134  0134  00 00  004A
  80:  0133  0133  02 08  004B
  81:  0101  0101  00 00  0046
  82:  0102  0102  00 00  0003
  83:  0100  0100  00 00  0047
  84:  00B9  00B9  00 00  0050
  85:  00B8  00B8  00 00  0052
  86:  00B7  00B7  00 00  0052
  87:  00B4  00B4  00 00  0051
  88:  00B3  00B3  00 00  0053
  89:  00B2  00B2  00 00  0053
  8A:  00B6  00B6  00 00  000A
  8B:  00B5  00B5  00 00  000A
  8C:  0086  0086  00 00  0009
  8D:  0087  0087  00 00  0009
  8E:  0038  0038  00 00  0061
  8F:  0039  0039  00 00  0062
  90:  00A8  00A8  04 08  005D
  91:  00A4  00A4  00 00  005B
  92:  0139  0139  00 00  005C
  93:  013A  013A  00 00  005C
  94:  003D  003D  00 00  005A
  95:  012F  012F  00 00  0000
  96:  00E7  00E7  03 08  005E
  97:  0146  0146  00 00  005F
  98:  00D1  00D1  00 00  0060
  99:  0123  0123  00 00  0013
  9A:  00FC  00FC  00 00  0065
  9B:  0110  0110  00 00  0066
  9C:  00C1  00C1  00 00  0067
  9D:  0125  0125  00 00  0092
  9E:  008F  008F  02 08  0069
  9F:  00F3  00F3  02 07  006B
  A0:  00F4  00F4  02 07  006C
  A1:  0111  0111  03 09  006D
  A2:  0113  0113  03 09  006E
  A3:  0114  0114  03 09  006F
  A4:  00C6  00C6  02 08  0000
  A5:  0088  0088  02 08  0000
  A6:  00A6  00A6  03 00  0014
  A7:  011A  011A  00 00  0071
  A8:  0127  0127  05 0A  0006
  A9:  00FB  00FB  00 00  0075
  AA:  0098  0098  03 09  0076
  AB:  009D  009D  03 09  0077
  AC:  009B  009B  03 09  0078
  AD:  009A  009A  03 09  0079
  AE:  00F0  00F0  00 00  007A
  AF:  007A  007A  00 00  007B
  B0:  007B  007B  00 00  007C
  B1:  00F2  00F2  00 00  007D
  B2:  00D4  00D4  00 07  007E
  B3:  0147  0147  05 00  007F
  B4:  0148  0148  05 00  0080
  B5:  00D6  00D6  00 07  0081
  B6:  002C  002C  06 07  0082
  B7:  002B  002B  06 07  0083
  B8:  002A  002A  06 07  0084
  B9:  0030  0030  06 07  0088
  BA:  002E  002E  06 08  0089
  BB:  002F  002F  06 08  008A
  BC:  0031  0031  06 00  008B
  BD:  0032  0032  06 00  008B
  BE:  002D  002D  06 07  008C
  BF:  00FD  00FD  00 00  008E
  C0:  00D8  00D8  00 00  0001
  C1:  0115  0115  03 09  0005
  C2:  0149  0149  00 00  0006
  C3:  00D0  00D0  06 07  0090
  C4:  007C  007C  00 00  0004
  C5:  00F1  00F1  00 00  0093
  C6:  008D  008D  03 09  0005
  C7:  0122  0122  03 09  0005
  C8:  00BF  00BF  02 08  0094
  C9:  00C0  00C0  02 08  0095
  CA:  010A  010A  05 00  005D
  CB:  0063  0063  00 00  0096
  CC:  00EA  00EA  00 00  0097
  CD:  00EE  00EE  00 00  0000
  CE:  00EB  00EB  00 00  0000
  CF:  00EC  00EC  00 00  0099
  D0:  00E8  00E8  00 00  0099
  D1:  00ED  00ED  00 00  009A
  D2:  00E9  00E9  00 00  009A
  D3:  00CD  00AE  00 00  0037
  D4:  003A  003A  00 00  0061
  D5:  00EF  00EF  00 00  009B
  D6:  0143  0143  00 00  009C
  D7:  0144  0144  00 00  009D
  D8:  00FE  00FE  00 00  0065
  D9:  00D5  00D5  00 07  0004
  DA:  00D3  00D3  00 00  009E
  DB:  00D2  00D2  02 08  009F
  DC:  00B1  00B1  00 00  0002
  DD:  003C  003C  03 08  0003
  DE:  004C  004C  03 08  00A0
  DF:  0145  0145  00 00  00A1
  E0:  011E  011E  00 00  0000
  E1:  008A  008A  00 00  00A4
  E2:  008B  008B  00 00  00A5
  E3:  008C  008C  00 00  00A6
  E4:  010C  010C  05 0A  00A7
  E5:  010D  010D  05 0A  00A8
  E6:  0109  0109  05 0A  00A9
  E7:  010B  010B  05 0A  00AA
  E8:  0107  0107  05 0A  00AB
  E9:  0108  0108  05 0A  00AC
