Switches:
Stage ID: 00
  01  from    STOLENSISTER  in sea/Stage (Event)
  03  from          Ebrock  in sea/Room13
  04  from         ky_tag0  in sea/Room46
  08  from        AJ_SPEAK  in sea/Stage (Event)
  09  from           TagEv  in sea/Room44
  0A  from    MEETSHISHIOH  in sea/Stage (Event)
  0B  from     ARRIVAL_DRG  in sea/Stage (Event)
  0B  from          TagIsl  in sea/Room13
  0C  from          SW_C00  in sea/Room11
  0D  from         Daiocta  in sea/Room6
  0D  from         ky_tag0  in sea/Room6
  0E  from         Daiocta  in sea/Room17
  0E  from         ky_tag0  in sea/Room17
  0F  from         Daiocta  in sea/Room20
  0F  from         ky_tag0  in sea/Room20
  10  from         Daiocta  in sea/Room33
  10  from         ky_tag0  in sea/Room33
  11  from         Daiocta  in sea/Room36
  11  from         ky_tag0  in sea/Room36
  12  from         Daiocta  in sea/Room46
  13  from           Oship  in sea/Room16
  14  from           Oship  in sea/Room16
  15  from           Oship  in sea/Room29
  16  from           Oship  in sea/Room29
  17  from           Oship  in sea/Room29
  18  from          VolTag  in sea/Room20
  18  from         Yboil00  in sea/Room20
  19  from     ARRIVAL_BRK  in sea/Stage (Event)
  19  from          TagIsl  in sea/Room23
  1A  from     ARRIVAL_FST  in sea/Stage (Event)
  1A  from          TagIsl  in sea/Room41
  1B  from          VolTag  in sea/Room40
  1B  from           Ylsic  in sea/Room40
  1B  from         ky_tag0  in sea/Room40
  1B  from         kytag00  in sea/Room40
  1B  from         kytag00  in sea/Room40
  1B  from           Yllic  in sea/Room40
  1B  from           Yllic  in sea/Room40
  1B  from           Yllic  in sea/Room40
  1B  from           Yllic  in sea/Room40
  1C  from            Ajav  in sea/Room44/Layer5
  1C  from            Auzu  in sea/Room44/Layer5
  1C  from            Ajav  in sea/Room44/Layer7
  1C  from            Auzu  in sea/Room44/Layer7
  22  from         Kbota_A  in sea/Room11
  24  from           Ecube  in sea/Room13
  24  from           Ecube  in sea/Room13
  25  from         MhmrSW0  in sea/Room15
  25  from            Fire  in sea/Room15
  25  from           Akabe  in sea/Room15
  26  from         AND_SW2  in sea/Room28
  26  from           Akabe  in sea/Room28
  27  from         SW_HIT0  in sea/Room29
  27  from            Fire  in sea/Room29
  28  from          Ebrock  in sea/Room2
  28  from          AttTag  in sea/Room2
  29  from           Ashut  in sea/Room35
  29  from         AND_SW2  in sea/Room35
  2A  from         takara6  in sea/Room1
  2A  from          Ocanon  in sea/Room1/Layer1
  2A  from          Ocanon  in sea/Room1/Layer1
  2A  from          Ocanon  in sea/Room1/Layer1
  2A  from          Fganon  in sea/Room1/Layer1
  2A  from          FgTrap  in sea/Room1/Layer1
  2A  from          FgTrap  in sea/Room1/Layer1
  2A  from           Oship  in sea/Room4
  2A  from           Oship  in sea/Room7
  2A  from           Oship  in sea/Room7
  2A  from           Oship  in sea/Room8
  2A  from           Oship  in sea/Room8
  2A  from          Ocanon  in sea/Room8
  2A  from          Ocanon  in sea/Room8
  2A  from          Ocanon  in sea/Room8
  2A  from          Ocanon  in sea/Room8
  2A  from           Oship  in sea/Room12
  2A  from           Oship  in sea/Room20
  2A  from          Ocanon  in sea/Room22
  2A  from          Ocanon  in sea/Room22
  2A  from          Ocanon  in sea/Room22
  2A  from          Ocanon  in sea/Room22
  2A  from          Ocanon  in sea/Room22
  2A  from          Ocanon  in sea/Room22
  2A  from           Oship  in sea/Room22
  2A  from           Oship  in sea/Room24
  2A  from          Ocanon  in sea/Room24
  2A  from          Ocanon  in sea/Room24
  2A  from          Ocanon  in sea/Room24
  2A  from          Ocanon  in sea/Room24
  2A  from          Ocanon  in sea/Room24
  2A  from          Ocanon  in sea/Room24
  2A  from          Ocanon  in sea/Room24
  2A  from          Ocanon  in sea/Room24
  2A  from           Oship  in sea/Room25
  2A  from           Oship  in sea/Room25
  2A  from          Ocanon  in sea/Room25
  2A  from          Ocanon  in sea/Room25
  2A  from          Ocanon  in sea/Room25
  2A  from          Ocanon  in sea/Room25
  2A  from          Ocanon  in sea/Room25
  2A  from          Ocanon  in sea/Room25
  2A  from           Oship  in sea/Room28
  2A  from          Ocanon  in sea/Room37
  2A  from          Ocanon  in sea/Room37
  2A  from          Ocanon  in sea/Room37
  2A  from          Ocanon  in sea/Room37
  2A  from          Ocanon  in sea/Room37
  2A  from          Ocanon  in sea/Room37
  2A  from          Ocanon  in sea/Room37
  2A  from          Ocanon  in sea/Room37
  2A  from          Ocanon  in sea/Room37
  2A  from          Ocanon  in sea/Room37
  2A  from           Oship  in sea/Room40
  2A  from           Oship  in sea/Room43
  2A  from           Oship  in sea/Room45
  2A  from           Oship  in sea/Room46
  2A  from           Oship  in sea/Room46
  2A  from          Ocanon  in sea/Room46
  2A  from          Ocanon  in sea/Room46
  2A  from          Ocanon  in sea/Room46
  2A  from          Ocanon  in sea/Room46
  2A  from           Oship  in sea/Room49
  2A  from           Oship  in sea/Room49
  2B  from            Ekao  in sea/Room31
  2B  from          AttTag  in sea/Room31
  2B  from          AttTag  in sea/Room31
  2C  from  departure_DEMO  in sea/Stage (Event)
  2D  from            Ekao  in sea/Room45
  2F  from          Ebrock  in sea/Room19
  30  from              Hr  in sea/Room13
  31  from         AND_SW2  in sea/Room43
  31  from         takara5  in sea/Room43
  32  from         AND_SW0  in sea/Room28
  32  from         MhmrSW0  in sea/Room28
  33  from         AND_SW0  in sea/Room28
  33  from         MhmrSW0  in sea/Room28
  34  from         AND_SW0  in sea/Room28
  34  from         MhmrSW0  in sea/Room28
  35  from         AND_SW2  in sea/Room39
